Date,3690.HK,600588.SS,BABA,BIDU,BILI,FXI,JD,KWEB,NTES,PDD,TCEHY,TCOM,New_cases,restriction_gatherings,Year_Month,CPI,Unemployment
2021-08-26,219.13043773116695,152.11756092242746,75.18769726568642,111.75661977751888,369.8806445909506,91.10846771062371,204.18766349800447,94.68265878016234,140.78995697501279,232.50061041633492,120.8540365917241,77.65755514337152,32.0,4,2021Aug,0.8,5.1
2021-08-27,217.39130434782606,153.68220149252488,72.56222328821516,110.88119892440001,359.57040137350947,91.84062404817193,202.5708984150884,93.71294518274574,143.10406059489415,229.51733762809837,118.8384580745933,76.90018762903107,43.0,4,2021Aug,0.8,5.1
2021-08-30,220.67632260529894,150.72677486132815,73.84537931979698,110.8233188561406,353.8424561041254,91.97790890178854,203.2600246556312,95.01236394363004,138.2598703506092,230.36624887573757,117.52833860489234,77.33297053984826,53.0,4,2021Aug,0.8,5.1
2021-08-31,240.57971014492753,145.5982418839834,75.9839842775529,113.60150693512068,382.9594292848927,93.67103262108671,208.21627713236327,98.92999830352515,150.29318533875474,242.5903413862645,124.28051775328146,82.47227147518682,48.0,4,2021Aug,0.8,5.1
2021-09-01,244.83091197727958,144.94629997796187,78.84606425382427,119.50513038415454,403.62765861173796,95.75312270519684,214.10018918268125,103.79795230643178,149.4909865857667,259.10745335230285,130.1256946804391,85.71814846549499,25.0,4,2021Sep,0.7,4.9
2021-09-02,245.02416048648854,141.5997215393884,78.26363773773338,117.47214128433035,399.6658725905727,94.72351732889965,212.66896845321003,102.53732145435764,146.42092457362932,249.2360011572698,127.72715400474067,84.50094330433461,35.0,4,2021Sep,0.7,4.9
2021-09-03,236.52174207899304,142.20818731543898,77.49010317196316,117.91346714525082,410.26250032547836,94.883681514032,211.64857816532705,102.18823027506629,143.45888385779992,247.9505323598376,127.20310621686026,84.98782536879878,28.0,4,2021Sep,0.7,4.9
2021-09-07,248.6956462767965,146.55441667803024,79.70150623692663,120.59035682515626,435.0357807665338,97.1259269187524,220.6201970315184,106.31919813341723,147.6859917210686,261.31457448453244,135.2250946551467,87.42223053194027,54.0,4,2021Sep,0.7,4.9
2021-09-08,252.17391304347828,144.03360131388598,77.67666350965195,117.69641964915164,409.54653903181713,96.07345107546155,216.6180986181714,102.63429122638301,140.04943189903202,253.98981902346893,131.23426325112183,87.04354677477004,37.0,4,2021Sep,0.7,4.9
2021-09-09,240.19324261209238,142.59935579311096,76.13414209010205,118.39820029749228,400.14319225873226,95.18112168825887,212.721978164021,101.83913115719352,137.16454584696015,252.92262900093326,127.50544029060411,86.04273306901827,39.0,4,2021Sep,0.7,4.9
2021-09-10,250.62801342655496,143.20782156916155,76.48905803137393,118.72377706138819,398.37706942766977,95.11247482918952,213.72912120700437,100.57850824370081,136.45486356829238,251.6371602035011,125.71157548760988,83.60832790587676,25.0,4,2021Sep,0.7,4.9
2021-09-13,239.42029280363073,141.9039544274137,75.26505002795628,118.1160418644116,384.3913882893715,94.90656084554776,212.4834448309779,98.63908898744901,136.40844444327917,252.6315906344046,123.81693523510653,79.36164236899606,66.0,4,2021Sep,0.7,4.9
2021-09-14,236.7149758454106,140.035080969291,72.87163433729457,116.13370196412474,379.47492651473067,92.75583276689036,206.46701886923879,95.65237237757894,130.74668171782463,246.85908297193328,120.81372641192046,76.81903889856063,98.0,4,2021Sep,0.7,4.9
2021-09-15,226.08695652173913,138.64429490819168,71.82963895957515,117.00911177774938,363.91405769606496,92.11518489088306,203.10097479198558,94.10083220942866,131.4273326772287,240.84405567367062,117.34693507055943,77.33297053984826,80.0,4,2021Sep,0.7,4.9
2021-09-16,224.73430541402476,138.60082711336835,71.10160234292567,115.43915218450616,347.1121650236156,90.76526000884326,204.53219552145688,94.0038624374033,130.46823847345792,242.27504365436715,117.46786560997036,77.38706969349522,86.0,4,2021Sep,0.7,4.9
2021-09-17,232.65700777947615,143.16434543919058,72.82613638817381,117.35639218730579,355.3221944177233,91.33726102578123,205.9104272713298,94.93478812600974,128.20971862740495,244.3124047424376,118.71752753518237,77.95509532925057,96.0,4,2021Sep,0.7,4.9
2021-09-23,234.39614116281703,143.4251355378354,68.79464872465839,116.11922918718633,354.84483833240745,89.36958532829404,201.77577348413632,94.2365898902642,126.2141729565872,238.37011853133322,120.5315397028619,79.3075432153491,51.0,4,2021Sep,0.7,4.9
2021-09-24,236.3285083125755,147.7278887704557,66.01446922264745,113.275941210719,337.6133688837613,87.49341809234775,196.07740578726313,91.01715376611462,125.82743431068135,229.3233182185706,117.44771052006853,78.63131927229983,65.0,4,2021Sep,0.7,4.9
2021-09-27,239.99999410288348,145.94595090197967,68.33507291995812,113.54362686686127,340.62051556860746,88.75181678380247,202.5708984150884,93.28627024725267,129.92679721861847,233.61630066513408,121.61996090885935,81.30916546767341,51.0,4,2021Sep,0.7,4.9
2021-09-28,243.28502710314766,143.4251355378354,69.34067271560963,111.4310540531172,317.6133579586145,88.86621344138122,199.89398057837803,91.05594167492478,131.00967972829736,215.86223863240096,118.9190861594171,81.17392274273526,43.0,4,2021Sep,0.7,4.9
2021-09-29,241.54589371980677,141.2520291916874,67.1520220967424,109.91173261991707,307.30307832401695,88.22558329441809,189.82242576126828,89.40742379616772,126.3843446346523,216.00775781566526,117.508175789774,80.25425776745392,53.0,4,2021Sep,0.7,4.9
2021-09-30,238.26087546233393,143.99014185421026,67.36588259251799,111.23571020267849,315.847235127552,89.07214515406716,191.46568533398346,91.77352592649397,132.10798363663275,219.91268293869922,120.47108215837297,83.17554499505957,38.0,4,2021Sep,0.7,4.9
2021-10-08,247.34299516908212,148.94482032255686,73.49501803358739,117.26956656516955,338.71120047881277,91.40590788485056,208.34879104378442,97.14573068251397,149.00048123344493,233.37376252486885,127.36434693607484,86.06978264584174,34.0,4,2021Oct,1.5,4.9
2021-10-11,268.019317774381,148.6405874345316,74.60071609453325,117.32021576470686,336.8018853890181,91.33726102578123,206.73204669208104,96.93238924547674,148.50547102123744,230.00243241310275,125.53017195327696,85.60995015820107,32.0,4,2021Oct,1.5,4.9
2021-10-12,259.9033816425121,145.94595090197967,74.16844739099152,115.37404124752466,329.35559659769075,90.83390686791259,207.81873539809993,95.45843283352818,146.74196138739197,226.82512171086447,123.51459343614617,85.66404931184803,30.0,4,2021Oct,1.5,4.9
2021-10-15,271.30433603185384,147.64096985110427,76.44355313918145,118.38373856004812,334.558442889796,93.12191093566449,215.79645846620744,97.78573117788146,147.82482006183338,228.0135900557697,128.97681592995266,88.5041929681625,19.0,4,2021Oct,1.5,4.9
2021-10-18,270.9178684990187,142.72973417213814,75.90663151528305,123.7447487885811,358.18614884383726,93.67103262108671,218.446861081906,98.56150523124731,151.44462990907573,235.26558592520104,129.1380643743838,86.06978264584174,28.0,4,2021Oct,1.5,4.9
